customer_id,lat,lon,avg_monthly_sales,avg_monthly_invoices,true_district,sales_m1,invoices_m1,sales_m2,invoices_m2,sales_m3,invoices_m3,sales_m4,invoices_m4
C1000,24.691761443168485,46.672279251985266,2328.385082133211,1,Olaya,2570.0,1,2399.0,1,2401.0,2,1996.0,2
C1001,24.68299679480708,46.68354787465541,4857.947558355067,4,Olaya,4993.0,3,4950.0,3,4694.0,3,4926.0,5
C1002,24.69143224830836,46.67666088487661,22033.80705293914,1,Olaya,21139.0,0,23664.0,1,20543.0,1,24904.0,2
C1003,24.687734614495792,46.69387783347354,4216.607373973654,6,Olaya,2993.0,6,4434.0,5,4726.0,7,3221.0,5
C1004,24.68304838084197,46.682449452353545,9127.171271253763,5,Olaya,11366.0,6,9397.0,5,9527.0,4,8146.0,5
C1005,24.69827284680685,46.68074622553711,3311.44286650451,2,Olaya,2948.0,2,3617.0,2,3498.0,2,3119.0,2
C1006,24.694231068807426,46.68342998421388,3797.782480546355,3,Olaya,3364.0,3,3700.0,4,4551.0,3,3643.0,3
C1007,24.69802057227921,46.68058169582773,10318.576430520548,1,Olaya,11999.0,2,6510.0,1,10202.0,0,9549.0,1
C1008,24.69416016058654,46.663053346474236,872.8265418406403,5,Olaya,886.0,4,982.0,6,982.0,6,909.0,6
C1009,24.687883127209133,46.68232290570671,7800.712573613079,2,Olaya,10050.0,1,8416.0,2,7311.0,3,8979.0,3
C1010,24.69042344218394,46.67129169991336,5474.582414980648,1,Olaya,6873.0,1,5579.0,1,5970.0,1,5758.0,0
C1011,24.682907659765725,46.68345807228959,899.4675396849631,1,Olaya,998.0,1,1126.0,2,970.0,1,1036.0,0
C1012,24.700159302257774,46.66230074582014,8146.88400237963,5,Olaya,8483.0,4,6580.0,5,7478.0,6,9409.0,6
C1013,24.688081596408352,46.672323019803876,10709.317198902087,3,Olaya,11969.0,4,6259.0,4,8279.0,3,9779.0,2
C1014,24.705084831764573,46.682996861548325,9630.951396531687,6,Olaya,7768.0,6,11917.0,5,7784.0,6,10026.0,5
C1015,24.680317848868548,46.706502748134405,2599.341511171684,4,Olaya,2675.0,4,2801.0,5,2232.0,3,2459.0,4
C1016,24.687497737820987,46.67678331679885,1087.0081888549807,3,Olaya,1115.0,3,838.0,2,1177.0,3,1193.0,4
C1017,24.68828516149804,46.67059260970164,1680.9557203953366,6,Olaya,1568.0,5,1605.0,7,1647.0,7,1596.0,5
C1018,24.686377588745593,46.683031232573775,4526.830233076236,3,Olaya,4714.0,4,5015.0,2,4324.0,2,4408.0,3
C1019,24.701394359180824,46.697563812744875,3973.6219220468474,5,Olaya,3120.0,6,3318.0,6,4255.0,5,4970.0,4
C1020,24.700340676923926,46.6914211170274,8945.405171848854,2,Olaya,10183.0,1,9825.0,2,9917.0,3,8722.0,3
C1021,24.67781985100949,46.684838729947586,8706.124144021707,6,Olaya,10411.0,5,11589.0,7,10517.0,5,6720.0,7
C1022,24.671838067112738,46.682833486938556,2043.936832866675,5,Olaya,1655.0,6,2499.0,5,1861.0,4,2082.0,4
C1023,24.679360297595306,46.68754030293074,2377.061421455835,0,Olaya,2437.0,1,2403.0,1,2571.0,1,2484.0,0
C1024,24.714301931842563,46.66689374240374,9048.207061072619,3,Olaya,11168.0,3,9625.0,4,10001.0,2,8387.0,4
C1025,24.690972652444938,46.6812206831522,11199.851492410038,3,Olaya,11938.0,3,9794.0,4,9604.0,4,11329.0,2
C1026,24.650982739014044,46.678108500452964,12924.084693030303,3,Olaya,10977.0,4,13381.0,3,13159.0,2,14879.0,4
C1027,24.690575990898747,46.684304996745105,4585.8016406499655,2,Olaya,3925.0,3,4431.0,1,3957.0,2,4243.0,1
C1028,24.69613330517892,46.6761047879861,10668.775116162173,3,Olaya,12063.0,2,9257.0,4,10306.0,3,10390.0,4
C1029,24.684436994860693,46.695032375152344,6020.591900045055,1,Olaya,7688.0,1,4911.0,1,6397.0,2,5403.0,2
C1030,24.690998608241696,46.67100062604225,3585.0308669468727,4,Olaya,3016.0,5,4672.0,4,2673.0,3,3764.0,4
C1031,24.685326836341495,46.66138218485259,15604.032868305561,6,Olaya,15742.0,7,16049.0,7,13565.0,5,15340.0,6
C1032,24.708141954138767,46.69222394272351,4243.874378012191,1,Olaya,3766.0,1,3664.0,0,3731.0,1,3675.0,0
C1033,24.696080247650727,46.68587815725804,3371.302766624212,4,Olaya,3239.0,3,3213.0,4,3417.0,5,3300.0,3
